insertSort, m36, t50, w8, 787, 23, 2087, 2905, 57.9907, 0.9444, 1900, 40, a3, 111011
selectSort, m184, t50, w2, 12432, 162, 80134, 94052, 435.5109, 0.9101, 1900, 45, a3, 100100
mergeSort, m452, t50, w2, 41222, 160, 136808, 181048, 302.6726, 0.9336, 1900, 129, a3, 011100
minProd, m90, t50, w2, 3323, 161, 7896, 11577, 87.2486, 0.8659, 1946, 72, a2, 110111
transpose, m74, t50, w2, 5953, 159, 30986, 37062, 415.9262, 0.8993, 903, 40, a4, 100001
add, m24, t100, w2, 582, 320, 718, 2170, 29.9167, 0.9167, 583, 13, a3, 111111
longestIncrease, m228, t50, w4, 6304, 10254, 103012, 130030, 451.807, 0.9035, 1946, 70, a5, 010011
parg, m836, t52, w8, 144232, 19, 271, 144707, 0.324, 1.0, 418, 2518, a5, 101011
dictionaryOrder, m23, t100, w4, 1209, 100, 3881, 5281, 164.0141, 0.9265, 8248, 32, a3, 101100
transpose, m49, t50, w8, 1267, 21, 3373, 4817, 67.9128, 0.9054, 903, 40, a3, 101111
dictionaryOrder, m23, t100, w2, 642, 323, 11178, 12027, 472.3099, 0.9265, 8248, 32, a2, 111111
squareMatrix, m364, t50, w4, 9304, 50, 46384, 55958, 127.4286, 1.0, 903, 72, a2, 111011
factorial, m15, t100, w2, 385, 316, 9794, 10367, 631.9032, 0.9677, 403, 18, a4, 000010
factorial, m62, t100, w4, 1042, 297, 14102, 15868, 227.4516, 0.9677, 403, 18, a2, 010011
parg, m836, t52, w4, 142174, 55, 857, 143252, 1.0247, 1.0, 418, 2518, a2, 111011
huffmanCodingEff, m66, t50, w2, 5184, 172, 13657, 19118, 205.8945, 0.849, 1874, 239, a2, 001111
longestIncrease, m38, t50, w2, 3292, 9484, 43049, 49742, 1132.8772, 0.9196, 1946, 70, a2, 000100
transpose, m298, t50, w8, 7516, 129, 20242, 29062, 67.9262, 0.9054, 903, 40, a2, 001111
quickSort, m63, t50, w2, 6676, 164, 40983, 48171, 645.4094, 0.9603, 1900, 56, a3, 001100
anagram, m30, t100, w4, 533, 102, 2501, 3160, 83.3833, 0.9286, 1370, 37, a2, 111111
anagram, m120, t100, w8, 2016, 269, 10004, 12766, 83.3667, 0.9286, 1370, 37, a3, 010111
parg, m5018, t52, w8, 901610, 123, 530, 905396, 0.1056, 1.0, 418, 2518, a5, 000111
insertSort, m216, t50, w2, 7294, 159, 49264, 57586, 228.0741, 0.92, 1900, 40, a5, 100111
transpose, m298, t50, w2, 23854, 158, 123968, 150018, 416, 0.8993, 903, 40, a4, 011100
huffmanCodingEff, m66, t50, w2, 5008, 170, 13619, 19108, 205.3216, 0.849, 1874, 239, a2, 001110
longestIncrease, m228, t50, w4, 6524, 10570, 91992, 119844, 403.4737, 0.9035, 1946, 70, a4, 011010
minProd, m90, t50, w2, 3359, 163, 7911, 11629, 87.4199, 0.8659, 1946, 72, a3, 110111
mergeSort, m113, t50, w8, 3490, 140, 5275, 9338, 46.6814, 0.9336, 1900, 129, a2, 010110
longestIncrease, m57, t50, w4, 1580, 3463, 23461, 26820, 411.5965, 0.9035, 1946, 70, a4, 101010
factorial, m15, t100, w8, 254, 267, 2648, 3064, 170.8387, 0.9677, 403, 18, a5, 001010
transpose, m49, t50, w2, 1940, 158, 20790, 22810, 418.5906, 0.8993, 903, 40, a3, 011010
factorial, m10, t100, w8, 164, 39, 1694, 1945, 163.9355, 0.9677, 403, 18, a2, 100110
genPassword, m24, t100, w2, 738, 313, 2759, 3683, 112.6327, 0.8367, 398, 63, a2, 010011
primes, m34, t100, w4, 569, 310, 1271, 2219, 37.3824, 0.8793, 398, 30, a2, 001110
bubbleSort, m37, t50, w2, 2461, 165, 71049, 73740, 1886.2743, 0.9182, 1900, 41, a3, 100101
genPassword, m98, t100, w2, 3028, 327, 11228, 15028, 114.5714, 0.8367, 398, 63, a5, 100010
squareMatrix, m60, t50, w4, 1572, 49, 7716, 9334, 127.1978, 1.0, 903, 72, a5, 101011
genPassword, m24, t100, w8, 501, 293, 484, 1163, 19.7755, 0.8367, 398, 63, a5, 001010
factorial, m15, t100, w2, 385, 323, 9768, 10344, 630.2258, 0.9677, 403, 18, a4, 101011
genPassword, m98, t100, w8, 1938, 40, 1888, 4458, 19.2653, 0.8367, 398, 63, a2, 101110
anagram, m120, t100, w2, 3166, 321, 15920, 20602, 132.6667, 0.8667, 1370, 37, a4, 111110
parg, m1254, t52, w2, 214378, 176, 4357, 224383, 3.4735, 1.0, 418, 2518, a4, 101111
mergeSort, m113, t50, w8, 3560, 139, 5289, 9016, 46.8097, 0.9336, 1900, 129, a2, 001111
insertSort, m54, t50, w8, 1195, 148, 3170, 4475, 58.713, 0.9444, 1900, 40, a3, 001010
anagram, m120, t100, w2, 3184, 319, 16056, 19988, 133.8, 0.8667, 1370, 37, a5, 111010
anagram, m30, t100, w2, 791, 303, 4081, 5053, 136.05, 0.8667, 1370, 37, a3, 010010
squareMatrix, m60, t50, w8, 1563, 21, 3445, 5090, 56.7912, 1.0, 903, 72, a2, 111111
bubbleSort, m56, t50, w2, 3708, 160, 107907, 112097, 1909.8673, 0.9182, 1900, 41, a3, 110100
longestIncrease, m228, t50, w2, 9828, 9535, 260126, 290476, 1140.9035, 0.9196, 1946, 70, a2, 001110
mergeSort, m452, t50, w2, 20840, 165, 136434, 160306, 301.8451, 0.9336, 1900, 129, a2, 110110
bubbleSort, m226, t50, w4, 14752, 162, 154096, 170720, 681.8407, 0.9182, 1900, 41, a2, 001100
dictionaryOrder, m23, t100, w4, 1205, 100, 3882, 5299, 164.0423, 0.9265, 8248, 32, a3, 111100
parg, m1254, t52, w8, 218086, 20, 3048, 221462, 2.4301, 1.0, 418, 2518, a4, 100011
bubbleSort, m37, t50, w4, 2417, 50, 25652, 28350, 681.0265, 0.9182, 1900, 41, a2, 111100
anagram, m120, t100, w8, 1994, 45, 10006, 12294, 83.3833, 0.9286, 1370, 37, a2, 101111
factorial, m15, t100, w4, 773, 102, 3518, 4371, 227, 0.9677, 403, 18, a2, 100000
minProd, m90, t50, w4, 2249, 48, 2644, 4956, 29.221, 0.7845, 1946, 72, a2, 100011
insertSort, m216, t50, w8, 4672, 20, 12582, 17452, 58.25, 0.9444, 1900, 40, a3, 111010
huffmanCoding, m628, t50, w4, 35868, 154, 83416, 119952, 132.828, 0.9013, 1874, 318, a5, 010010
mergeSort, m452, t50, w4, 13530, 51, 45588, 61858, 100.8584, 0.9336, 1900, 129, a3, 100110
mergeSort, m75, t50, w2, 6682, 158, 22721, 29489, 301.615, 0.9336, 1900, 129, a2, 010000
insertSort, m216, t50, w4, 4826, 145, 24824, 31272, 114.9259, 0.9444, 1900, 40, a3, 001110
huffmanCodingEff, m398, t50, w8, 20512, 139, 12036, 34144, 30.2412, 0.849, 1874, 239, a2, 011111
quickSort, m63, t50, w2, 6725, 157, 41046, 48099, 646.3937, 0.9603, 1900, 56, a2, 000101
squareMatrix, m364, t50, w2, 14054, 159, 111174, 127064, 305.4231, 1.0, 903, 72, a5, 110111
factorial, m10, t100, w8, 486, 40, 1691, 2211, 163.7097, 0.9677, 403, 18, a3, 110000
bubbleSort, m56, t50, w4, 1228, 49, 38514, 39875, 681.6637, 0.9182, 1900, 41, a2, 111111
longestIncrease, m57, t50, w2, 2468, 9380, 66248, 73681, 1162.2456, 0.9196, 1946, 70, a2, 001111
primes, m136, t100, w8, 2238, 38, 1728, 4228, 12.7059, 0.8793, 398, 30, a3, 101111
minProd, m362, t50, w4, 8882, 48, 11492, 20626, 31.7459, 0.7845, 1946, 72, a5, 110010
insertSort, m54, t50, w8, 1196, 148, 3183, 4495, 58.9537, 0.9444, 1900, 40, a2, 011011
parg, m836, t52, w4, 142080, 51, 860, 143164, 1.0283, 1.0, 418, 2518, a3, 111011
anagram, m20, t100, w2, 536, 319, 2651, 3393, 132.5833, 0.8667, 1370, 37, a4, 101111
mergeSort, m452, t50, w2, 40736, 166, 135912, 178324, 300.6903, 0.9336, 1900, 129, a4, 111101
squareMatrix, m364, t50, w4, 9296, 48, 46160, 55712, 126.8132, 1.0, 903, 72, a3, 100010
add, m4, t100, w2, 93, 315, 121, 363, 30.25, 0.9167, 583, 13, a4, 000110
quickSort, m63, t50, w2, 6627, 165, 43443, 50579, 684.1496, 0.9603, 1900, 56, a3, 101100
anagram, m20, t100, w2, 1083, 319, 2692, 3902, 134.6167, 0.8667, 1370, 37, a3, 000000
mergeSort, m452, t50, w8, 13968, 21, 21024, 35796, 46.5133, 0.9336, 1900, 129, a2, 111111
squareMatrix, m60, t50, w4, 1599, 154, 7812, 9489, 128.7747, 1.0, 903, 72, a3, 001010
factorial, m62, t100, w4, 3116, 311, 14088, 17948, 227.2258, 0.9677, 403, 18, a3, 000001
huffmanCoding, m628, t50, w2, 54054, 162, 175204, 232372, 278.9873, 0.9013, 1874, 318, a5, 010111
maxArrSumNeg, m224, t50, w8, 5402, 150, 20272, 26230, 90.5, 0.9358, 1910, 63, a2, 011111
add, m24, t100, w8, 348, 43, 114, 696, 4.75, 0.9167, 583, 13, a4, 111011
factorial, m15, t100, w2, 787, 326, 9782, 10826, 631.0968, 0.9677, 403, 18, a4, 101101
parg, m5018, t52, w2, 877474, 172, 17396, 916010, 3.4667, 1.0, 418, 2518, a3, 010111
longestIncrease, m57, t50, w2, 5076, 10261, 68356, 78798, 1199.2281, 0.9196, 1946, 70, a3, 011101
mergeSort, m75, t50, w4, 2258, 51, 7622, 9928, 101.1858, 0.9336, 1900, 129, a3, 101010
add, m4, t100, w2, 92, 316, 128, 345, 32.0833, 0.9167, 583, 13, a3, 100011
maxArrSumNeg, m56, t50, w8, 1350, 150, 5068, 6557, 90.5, 0.9358, 1910, 63, a2, 011111
genPassword, m16, t100, w2, 483, 320, 1878, 2488, 114.9796, 0.8367, 398, 63, a5, 101011
mergeSort, m113, t50, w2, 10085, 161, 34041, 44256, 301.2522, 0.9336, 1900, 129, a3, 000000
longestIncrease, m228, t50, w2, 20028, 9478, 265266, 305746, 1163.4474, 0.9196, 1946, 70, a3, 010100
mergeSort, m452, t50, w2, 21194, 163, 137896, 159612, 305.0796, 0.9336, 1900, 129, a5, 001010
dictionaryOrder, m142, t100, w2, 7312, 327, 68306, 77248, 481.0282, 0.9265, 8248, 32, a2, 000100
factorial, m15, t100, w4, 800, 103, 3515, 4424, 226.8065, 0.9677, 403, 18, a3, 111101
quickSort, m42, t50, w4, 1509, 50, 10338, 11968, 244.2126, 0.9603, 1900, 56, a3, 111111
factorial, m62, t100, w4, 3182, 307, 14068, 18360, 226.9032, 0.9677, 403, 18, a2, 010100
parg, m5018, t52, w2, 876390, 175, 17472, 914486, 3.4819, 1.0, 418, 2518, a2, 010111
huffmanCoding, m157, t50, w8, 9381, 139, 7642, 17868, 48.6783, 0.9279, 1874, 318, a2, 001110
mergeSort, m452, t50, w2, 40248, 156, 136440, 179694, 301.8584, 0.9336, 1900, 129, a3, 010100
dictionaryOrder, m35, t100, w8, 576, 257, 2501, 3396, 70.4507, 0.9265, 8248, 32, a2, 000111
genPassword, m24, t100, w4, 494, 97, 1013, 1629, 41.3673, 0.8367, 398, 63, a3, 111111
factorial, m10, t100, w2, 261, 321, 6542, 6977, 633.129, 0.9677, 403, 18, a3, 100111
anagram, m20, t100, w4, 346, 95, 1667, 2093, 83.3667, 0.9286, 1370, 37, a3, 110111
longestIncrease, m57, t50, w2, 2435, 9750, 65712, 73417, 1152.8509, 0.9196, 1946, 70, a2, 011111
genPassword, m24, t100, w8, 491, 268, 457, 1118, 18.6531, 0.8367, 398, 63, a3, 000010
anagram, m120, t100, w2, 6508, 323, 16222, 23498, 135.1833, 0.8667, 1370, 37, a5, 001001
parg, m1254, t52, w4, 212871, 54, 1292, 216038, 1.0303, 1.0, 418, 2518, a3, 111111
transpose, m74, t50, w2, 2897, 159, 31188, 34210, 418.6376, 0.8993, 903, 40, a5, 001010
insertSort, m216, t50, w4, 4736, 156, 24640, 30064, 114.0741, 0.9444, 1900, 40, a3, 011111
factorial, m10, t100, w4, 543, 102, 2345, 2943, 226.9677, 0.9677, 403, 18, a2, 110000
selectSort, m184, t50, w4, 4062, 154, 30016, 35592, 163.1304, 0.9101, 1900, 45, a3, 011110
longestIncrease, m57, t50, w4, 4932, 3471, 25259, 32295, 443.1491, 0.9035, 1946, 70, a4, 101100
huffmanCodingEff, m398, t50, w4, 20368, 46, 27418, 50382, 68.8894, 0.849, 1874, 239, a3, 111110
bubbleSort, m56, t50, w4, 3687, 51, 38514, 42344, 681.6637, 0.9182, 1900, 41, a3, 110101
squareMatrix, m91, t50, w4, 2308, 50, 11586, 13958, 127.3187, 1.0, 903, 72, a5, 101010
bubbleSort, m56, t50, w2, 1857, 157, 106932, 109143, 1892.6106, 0.9182, 1900, 41, a3, 011111
minProd, m90, t50, w2, 3332, 167, 7907, 11865, 87.3702, 0.8659, 1946, 72, a4, 000110
factorial, m62, t100, w8, 966, 40, 10174, 11352, 164.0968, 0.9677, 403, 18, a2, 111010
mergeSort, m452, t50, w4, 13438, 51, 45702, 60198, 101.1106, 0.9336, 1900, 129, a3, 101111
mergeSort, m75, t50, w2, 3410, 162, 22734, 26228, 301.7788, 0.9336, 1900, 129, a4, 110010
mergeSort, m75, t50, w8, 2524, 118, 3572, 6204, 47.4159, 0.9336, 1900, 129, a3, 000111
insertSort, m216, t50, w4, 4752, 51, 24684, 29918, 114.2778, 0.9444, 1900, 40, a3, 101111
factorial, m62, t100, w4, 1020, 96, 14070, 15804, 226.9355, 0.9677, 403, 18, a3, 101110
mergeSort, m75, t50, w4, 2267, 151, 7611, 9959, 101.031, 0.9336, 1900, 129, a3, 010011
genPassword, m16, t100, w4, 331, 299, 670, 1122, 41.0612, 0.8367, 398, 63, a5, 011011
primes, m34, t100, w4, 577, 102, 1273, 2129, 37.4412, 0.8793, 398, 30, a2, 101110
factorial, m62, t100, w4, 1040, 295, 14144, 15888, 228.129, 0.9677, 403, 18, a2, 001011
mergeSort, m452, t50, w2, 40156, 163, 136402, 177076, 301.7743, 0.9336, 1900, 129, a2, 101000
factorial, m62, t100, w4, 3134, 299, 14068, 18020, 226.9032, 0.9677, 403, 18, a3, 010101
squareMatrix, m91, t50, w2, 7254, 155, 27973, 35637, 307.4011, 1.0, 903, 72, a5, 001101
parg, m5018, t52, w8, 864466, 21, 1624, 867336, 0.3236, 1.0, 418, 2518, a4, 101010
parg, m1254, t52, w4, 215805, 165, 4101, 221406, 3.2694, 1.0, 418, 2518, a4, 000111
add, m6, t100, w8, 85, 53, 27, 175, 4.5, 0.9167, 583, 13, a4, 101111
mergeSort, m113, t50, w2, 5019, 160, 34069, 39214, 301.4956, 0.9336, 1900, 129, a2, 000010
anagram, m20, t100, w4, 340, 289, 1667, 2148, 83.3667, 0.9286, 1370, 37, a3, 000111
anagram, m20, t100, w8, 348, 286, 1667, 2144, 83.3667, 0.9286, 1370, 37, a3, 000111
mergeSort, m113, t50, w4, 3376, 50, 11408, 14856, 100.9602, 0.9336, 1900, 129, a3, 110010
factorial, m10, t100, w2, 531, 317, 6519, 7176, 630.9355, 0.9677, 403, 18, a5, 100000
minProd, m60, t50, w2, 2211, 158, 5280, 7906, 87.5193, 0.8659, 1946, 72, a2, 100110
selectSort, m184, t50, w2, 6122, 164, 80174, 87270, 435.7283, 0.9101, 1900, 45, a3, 011111
parg, m5018, t52, w2, 869784, 172, 17494, 916052, 3.4862, 1.0, 418, 2518, a3, 000110
primes, m34, t100, w2, 1815, 320, 3434, 5537, 101.0147, 0.8793, 398, 30, a4, 110101
parg, m5018, t52, w2, 866202, 178, 17138, 884862, 3.4153, 1.0, 418, 2518, a5, 001011
factorial, m10, t100, w2, 253, 327, 6529, 6911, 631.9032, 0.9677, 403, 18, a3, 100011
massive, m24, t60, w4, 930, 38272, 31838, 52066, 1299.5306, 1.0, 169, 13, a5, 111100
mergeSort, m113, t50, w4, 3432, 158, 11460, 15020, 101.4159, 0.9336, 1900, 129, a2, 000011
selectSort, m30, t50, w2, 1016, 163, 13400, 14664, 436.9565, 0.9101, 1900, 45, a4, 100110
dictionaryOrder, m142, t100, w4, 2368, 102, 23332, 26848, 164.3099, 0.9265, 8248, 32, a2, 111110
insertSort, m54, t50, w4, 1193, 50, 6178, 7433, 114.4074, 0.9444, 1900, 40, a3, 100010
factorial, m15, t100, w2, 390, 325, 9849, 10434, 635.4516, 0.9677, 403, 18, a2, 001011
longestIncrease, m228, t50, w2, 9868, 9826, 264808, 295418, 1161.4386, 0.9196, 1946, 70, a4, 100111
mergeSort, m452, t50, w4, 14002, 149, 46198, 61314, 102.208, 0.9336, 1900, 129, a3, 000111
genPassword, m24, t100, w2, 744, 315, 2766, 3855, 112.9184, 0.8367, 398, 63, a2, 111110
primes, m34, t100, w4, 574, 293, 1273, 2218, 37.4412, 0.8793, 398, 30, a4, 010110
anagram, m30, t100, w4, 519, 95, 2501, 3139, 83.3667, 0.9286, 1370, 37, a3, 110111
longestIncrease, m38, t50, w4, 3302, 3441, 16703, 21184, 439.5702, 0.9035, 1946, 70, a2, 100001
parg, m836, t52, w2, 144073, 170, 2814, 147143, 3.3647, 1.0, 418, 2518, a4, 001011
add, m24, t100, w8, 320, 38, 120, 634, 5, 0.9167, 583, 13, a4, 111010
transpose, m74, t50, w2, 2904, 161, 31262, 34289, 419.6309, 0.8993, 903, 40, a5, 110011
factorial, m62, t100, w2, 3158, 311, 39076, 42978, 630.2581, 0.9677, 403, 18, a2, 011001
insertSort, m36, t50, w8, 773, 21, 2110, 3055, 58.6204, 0.9444, 1900, 40, a3, 100110
squareMatrix, m364, t50, w2, 29042, 163, 112808, 144502, 309.9121, 1.0, 903, 72, a5, 001100
longestIncrease, m228, t50, w2, 9686, 9474, 260696, 290366, 1143.4035, 0.9196, 1946, 70, a2, 000111
minProd, m362, t50, w8, 9050, 144, 10060, 21140, 27.7901, 0.8659, 1946, 72, a2, 010110
factorial, m10, t100, w8, 162, 272, 1695, 1969, 164.0645, 0.9677, 403, 18, a2, 011010
mergeSort, m452, t50, w2, 40152, 164, 136056, 177872, 301.0088, 0.9336, 1900, 129, a2, 101101
factorial, m15, t100, w2, 384, 324, 9810, 10474, 632.9032, 0.9677, 403, 18, a4, 100111
bubbleSort, m56, t50, w4, 3700, 150, 38429, 42602, 680.1593, 0.9182, 1900, 41, a3, 000100
bubbleSort, m56, t50, w4, 3692, 48, 38508, 42621, 681.5664, 0.9182, 1900, 41, a3, 110100
anagram, m20, t100, w4, 356, 97, 2033, 2473, 101.6833, 0.9286, 1370, 37, a4, 110111
mergeSort, m452, t50, w8, 14008, 20, 21084, 35634, 46.646, 0.9336, 1900, 129, a3, 100111
dictionaryOrder, m35, t100, w2, 952, 319, 16868, 18236, 475.169, 0.9265, 8248, 32, a4, 110110
transpose, m49, t50, w4, 1257, 145, 6961, 8297, 140.1544, 0.8993, 903, 40, a2, 011011
dictionaryOrder, m142, t100, w2, 3826, 316, 67340, 72396, 474.2254, 0.9265, 8248, 32, a3, 001111
primes, m22, t100, w2, 603, 317, 2389, 3247, 105.4265, 0.8793, 398, 30, a2, 101110
huffmanCoding, m104, t50, w8, 6329, 20, 5116, 11932, 48.8854, 0.9279, 1874, 318, a3, 111110
anagram, m120, t100, w2, 6356, 299, 16148, 23206, 134.5667, 0.8667, 1370, 37, a3, 000000
huffmanCoding, m628, t50, w8, 37546, 126, 30672, 71560, 48.8408, 0.9279, 1874, 318, a3, 010110
mergeSort, m452, t50, w2, 40890, 160, 137072, 178488, 303.2566, 0.9336, 1900, 129, a3, 011001
genPassword, m16, t100, w4, 333, 288, 671, 1121, 41.102, 0.8367, 398, 63, a2, 000011
add, m6, t100, w2, 149, 324, 181, 552, 30.1667, 0.9167, 583, 13, a3, 010110
transpose, m298, t50, w8, 7556, 137, 20246, 29518, 67.9396, 0.9054, 903, 40, a2, 010110
primes, m22, t100, w8, 370, 275, 293, 790, 12.9412, 0.8793, 398, 30, a2, 000111
bubbleSort, m226, t50, w2, 7298, 158, 438720, 447926, 1941.2389, 0.9182, 1900, 41, a4, 110110
transpose, m74, t50, w2, 2933, 161, 31003, 34416, 416.1544, 0.8993, 903, 40, a4, 011111
bubbleSort, m37, t50, w2, 2434, 158, 71094, 73843, 1887.469, 0.9182, 1900, 41, a3, 011100
squareMatrix, m364, t50, w4, 9264, 49, 46218, 55756, 126.9725, 1.0, 903, 72, a2, 110011
minProd, m362, t50, w4, 8930, 51, 10662, 19850, 29.453, 0.7845, 1946, 72, a2, 110010
mergeSort, m113, t50, w2, 5096, 161, 34069, 39293, 301.5, 0.9336, 1900, 129, a2, 111010
huffmanCoding, m157, t50, w2, 13378, 165, 36276, 50406, 231.0573, 0.9013, 1874, 318, a5, 100111
squareMatrix, m60, t50, w8, 1623, 121, 3462, 5221, 57.0714, 1.0, 903, 72, a3, 001111
minProd, m60, t50, w8, 1488, 141, 1677, 3470, 27.7956, 0.8659, 1946, 72, a3, 000110
longestIncrease, m38, t50, w4, 1063, 3469, 17621, 19876, 463.7281, 0.9035, 1946, 70, a4, 110011
factorial, m15, t100, w2, 789, 317, 9747, 10779, 628.871, 0.9677, 403, 18, a3, 000101
mergeSort, m113, t50, w8, 3502, 20, 5271, 8908, 46.646, 0.9336, 1900, 129, a3, 100111
anagram, m30, t100, w2, 786, 322, 4075, 5049, 135.8333, 0.8667, 1370, 37, a3, 010011
longestIncrease, m228, t50, w2, 19536, 9500, 260714, 300712, 1143.4825, 0.9196, 1946, 70, a2, 010100
primes, m136, t100, w2, 3488, 323, 14440, 19444, 106.1765, 0.8793, 398, 30, a2, 000110
huffmanCoding, m628, t50, w8, 38926, 21, 30776, 72782, 49.0064, 0.9279, 1874, 318, a3, 100110
squareMatrix, m91, t50, w4, 2325, 49, 11594, 13986, 127.4066, 1.0, 903, 72, a3, 110010
add, m6, t100, w2, 135, 316, 181, 551, 30.25, 0.9167, 583, 13, a4, 010111
huffmanCoding, m157, t50, w8, 9174, 20, 7638, 17309, 48.6529, 0.9279, 1874, 318, a2, 111111
squareMatrix, m364, t50, w4, 9408, 143, 45928, 56444, 126.1758, 1.0, 903, 72, a5, 011111
mergeSort, m452, t50, w2, 20440, 162, 136276, 159702, 301.4956, 0.9336, 1900, 129, a3, 111110
transpose, m298, t50, w2, 23578, 160, 123958, 148028, 415.9664, 0.8993, 903, 40, a3, 101000
quickSort, m42, t50, w8, 1632, 137, 5002, 6762, 118.1575, 0.9603, 1900, 56, a3, 000111
add, m24, t100, w2, 590, 314, 766, 2096, 31.9167, 0.9167, 583, 13, a3, 111010
transpose, m298, t50, w4, 7598, 48, 41818, 49684, 140.3289, 0.8993, 903, 40, a2, 111010
primes, m34, t100, w2, 898, 317, 3598, 4780, 105.8382, 0.8793, 398, 30, a3, 111111
minProd, m90, t50, w4, 2193, 53, 2659, 4922, 29.3867, 0.7845, 1946, 72, a3, 111011
primes, m34, t100, w8, 571, 283, 437, 1199, 12.8529, 0.8793, 398, 30, a3, 000111
parg, m5018, t52, w4, 856324, 173, 5298, 889294, 1.0558, 1.0, 418, 2518, a5, 000110
dictionaryOrder, m142, t100, w8, 2258, 261, 10004, 13598, 70.4507, 0.9265, 8248, 32, a3, 010111
mergeSort, m75, t50, w4, 2286, 50, 7632, 10059, 101.3097, 0.9336, 1900, 129, a3, 100111
factorial, m10, t100, w2, 545, 312, 6523, 7192, 631.2581, 0.9677, 403, 18, a2, 000000
parg, m5018, t52, w4, 856374, 165, 1632, 865500, 0.3252, 1.0, 418, 2518, a5, 001111
transpose, m298, t50, w2, 23580, 158, 124028, 148102, 416.2013, 0.8993, 903, 40, a2, 011001
add, m24, t100, w2, 548, 327, 812, 2134, 33.8333, 0.9167, 583, 13, a2, 100011
factorial, m15, t100, w8, 247, 292, 2540, 3042, 163.9032, 0.9677, 403, 18, a2, 011110
quickSort, m42, t50, w2, 4443, 165, 28950, 33736, 683.8661, 0.9603, 1900, 56, a3, 011100
mergeSort, m113, t50, w2, 10080, 157, 34176, 44381, 302.4469, 0.9336, 1900, 129, a2, 000001
quickSort, m254, t50, w4, 9000, 152, 62028, 72820, 244.2047, 0.9603, 1900, 56, a3, 011110
mergeSort, m113, t50, w8, 3455, 152, 5299, 8879, 46.8938, 0.9336, 1900, 129, a2, 000011
factorial, m15, t100, w4, 259, 100, 3533, 3874, 227.9355, 0.9677, 403, 18, a2, 110010
quickSort, m63, t50, w8, 2403, 123, 7503, 10271, 118.1654, 0.9603, 1900, 56, a3, 000110
mergeSort, m75, t50, w8, 2344, 21, 3531, 5915, 46.8717, 0.9336, 1900, 129, a2, 101010
dictionaryOrder, m142, t100, w4, 2356, 298, 23262, 27160, 163.8169, 0.9265, 8248, 32, a2, 011110
bubbleSort, m37, t50, w2, 1243, 167, 73035, 74600, 1939, 0.9182, 1900, 41, a4, 010110
add, m6, t100, w2, 125, 329, 211, 530, 35.25, 0.9167, 583, 13, a5, 010010
mergeSort, m452, t50, w2, 20202, 158, 136386, 157086, 301.7389, 0.9336, 1900, 129, a5, 000010
minProd, m362, t50, w2, 13310, 167, 31596, 46444, 87.2818, 0.8659, 1946, 72, a4, 110111
genPassword, m16, t100, w2, 492, 312, 1852, 2535, 113.4286, 0.8367, 398, 63, a2, 011111
quickSort, m254, t50, w2, 13608, 163, 173726, 188650, 683.9606, 0.9603, 1900, 56, a2, 100111
anagram, m30, t100, w2, 1622, 320, 4035, 5844, 134.5167, 0.8667, 1370, 37, a3, 111000
genPassword, m24, t100, w4, 505, 98, 1048, 1633, 42.7755, 0.8367, 398, 63, a2, 111010
add, m24, t100, w2, 532, 326, 872, 2164, 36.3333, 0.9167, 583, 13, a5, 101011
anagram, m120, t100, w2, 6494, 316, 16126, 23374, 134.3833, 0.8667, 1370, 37, a5, 011001
squareMatrix, m91, t50, w4, 2347, 51, 11537, 14107, 126.7802, 1.0, 903, 72, a2, 110111
anagram, m30, t100, w2, 1610, 323, 4066, 5869, 135.55, 0.8667, 1370, 37, a5, 101000
transpose, m298, t50, w2, 23840, 156, 124066, 148388, 416.3289, 0.8993, 903, 40, a5, 101000
genPassword, m16, t100, w4, 344, 94, 682, 1079, 41.7551, 0.8367, 398, 63, a2, 111011
add, m6, t100, w2, 140, 333, 210, 542, 35, 0.9167, 583, 13, a3, 110011
parg, m5018, t52, w4, 863306, 167, 5040, 875880, 1.0044, 1.0, 418, 2518, a2, 001111
insertSort, m216, t50, w8, 4692, 23, 12660, 17552, 58.6111, 0.9444, 1900, 40, a2, 101010
squareMatrix, m91, t50, w2, 3521, 156, 27858, 31893, 306.1374, 1.0, 903, 72, a5, 010111
genPassword, m98, t100, w2, 2932, 313, 11180, 15490, 114.0816, 0.8367, 398, 63, a3, 011110
mergeSort, m75, t50, w2, 6861, 160, 22824, 29771, 302.9823, 0.9336, 1900, 129, a2, 001001
genPassword, m98, t100, w8, 1942, 37, 1908, 4060, 19.4694, 0.8367, 398, 63, a5, 110010
squareMatrix, m91, t50, w4, 2395, 149, 11591, 14103, 127.3791, 1.0, 903, 72, a2, 000010
mergeSort, m113, t50, w4, 3381, 155, 11376, 14884, 100.677, 0.9336, 1900, 129, a5, 010011
huffmanCoding, m628, t50, w8, 36958, 115, 30638, 70776, 48.7866, 0.9279, 1874, 318, a3, 001110
mergeSort, m452, t50, w2, 40336, 160, 136152, 178208, 301.2212, 0.9336, 1900, 129, a2, 010101
factorial, m15, t100, w8, 750, 39, 2539, 3351, 163.8065, 0.9677, 403, 18, a2, 101101
add, m24, t100, w2, 582, 321, 720, 2160, 30, 0.9167, 583, 13, a4, 111111
insertSort, m36, t50, w4, 780, 50, 4104, 5120, 114.0093, 0.9444, 1900, 40, a2, 100110
factorial, m10, t100, w2, 257, 292, 6512, 6956, 630.1935, 0.9677, 403, 18, a2, 100110
